ts_code,symbol,name,list_date,list_status
000001.SZ,000001,平安银行,19910403,L
000002.SZ,000002,万科A,19910129,L
000004.SZ,000004,国华网安,19910114,L
000005.SZ,000005,ST星源,19901210,L
000006.SZ,000006,深振业A,19920427,L
000007.SZ,000007,*ST全新,19920413,L
000008.SZ,000008,神州高铁,19920507,L
000009.SZ,000009,中国宝安,19910625,L
000010.SZ,000010,美丽生态,19951027,L
000011.SZ,000011,深物业A,19920330,L
000012.SZ,000012,南玻A,19920228,L
000014.SZ,000014,沙河股份,19920602,L
000016.SZ,000016,深康佳A,19920327,L
000017.SZ,000017,深中华A,19920331,L
000019.SZ,000019,深粮控股,19921012,L
000020.SZ,000020,深华发A,19920428,L
000021.SZ,000021,深科技,19940202,L
000023.SZ,000023,深天地A,19930429,L
000025.SZ,000025,特力A,19930621,L
000026.SZ,000026,飞亚达,19930603,L
000027.SZ,000027,深圳能源,19930903,L
000028.SZ,000028,国药一致,19930809,L
000029.SZ,000029,深深房A,19930915,L
000030.SZ,000030,富奥股份,19930929,L
000031.SZ,000031,大悦城,19931008,L
000032.SZ,000032,深桑达A,19931028,L
000034.SZ,000034,神州数码,19940509,L
000035.SZ,000035,中国天楹,19940408,L
000036.SZ,000036,华联控股,19940617,L
000037.SZ,000037,深南电A,19940701,L
000038.SZ,000038,深大通,19940808,L
000039.SZ,000039,中集集团,19940408,L
000040.SZ,000040,东旭蓝天,19940808,L
000042.SZ,000042,中洲控股,19940921,L
000045.SZ,000045,深纺织A,19940815,L
000046.SZ,000046,泛海控股,19940912,L
000048.SZ,000048,京基智农,19941101,L
000049.SZ,000049,德赛电池,19950320,L
000050.SZ,000050,深天马A,19950315,L
000055.SZ,000055,方大集团,19960415,L
000056.SZ,000056,皇庭国际,19960708,L
000058.SZ,000058,深赛格,19961226,L
000059.SZ,000059,华锦股份,19970130,L
000060.SZ,000060,中金岭南,19970123,L
000061.SZ,000061,农产品,19970110,L
000062.SZ,000062,深圳华强,19970130,L
000063.SZ,000063,中兴通讯,19971118,L
000065.SZ,000065,北方国际,19980605,L
000066.SZ,000066,中国长城,19970626,L
000068.SZ,000068,华控赛格,19970611,L
000069.SZ,000069,华侨城A,19970910,L
000070.SZ,000070,特发信息,20000511,L
000078.SZ,000078,海王生物,19981218,L
000088.SZ,000088,盐田港,19970728,L
000089.SZ,000089,深圳机场,19980420,L
000090.SZ,000090,天健集团,19990721,L
000096.SZ,000096,广聚能源,20000724,L
000099.SZ,000099,中信海直,20000731,L
000100.SZ,000100,TCL科技,20040130,L
000150.SZ,000150,宜华健康,20000807,L
000151.SZ,000151,中成股份,20000906,L
000153.SZ,000153,丰原药业,20000920,L
000155.SZ,000155,川能动力,20000926,L
000156.SZ,000156,华数传媒,20000906,L
000157.SZ,000157,中联重科,20001012,L
000158.SZ,000158,常山北明,20000724,L
000159.SZ,000159,国际实业,20000926,L
000166.SZ,000166,申万宏源,20150126,L
000301.SZ,000301,东方盛虹,20000529,L
000333.SZ,000333,美的集团,20130918,L
000338.SZ,000338,潍柴动力,20070430,L
000400.SZ,000400,许继电气,19970418,L
000401.SZ,000401,冀东水泥,19960614,L
000402.SZ,000402,金融街,19960626,L
000403.SZ,000403,派林生物,19960628,L
000404.SZ,000404,长虹华意,19960619,L
000407.SZ,000407,胜利股份,19960703,L
000408.SZ,000408,藏格控股,19960628,L
000409.SZ,000409,云鼎科技,19960627,L
000410.SZ,000410,ST沈机,19960718,L
000411.SZ,000411,英特集团,19960716,L
000413.SZ,000413,东旭光电,19960925,L
000415.SZ,000415,渤海租赁,19960716,L
000416.SZ,000416,民生控股,19960719,L
