ts_code,symbol,name,list_date,list_status
000003.SZ,000003,PT金田A(退),19910703,D
000013.SZ,000013,*ST石化A(退),19920506,D
000015.SZ,000015,PT中浩A(退),19920625,D
000018.SZ,000018,神城A退(退),19920616,D
000024.SZ,000024,招商地产(退),19930607,D
000033.SZ,000033,新都退(退),19940103,D
000047.SZ,000047,ST中侨(退),19941021,D
000405.SZ,000405,ST鑫光(退),19960620,D
000406.SZ,000406,石油大明(退),19960628,D
000412.SZ,000412,ST五环(退),19960715,D
000418.SZ,000418,小天鹅A(退),19970328,D
000508.SZ,000508,琼民源A(退),19930430,D
000511.SZ,000511,烯碳退(退),19930518,D
000515.SZ,000515,攀渝钛业(退),19930712,D
000522.SZ,000522,白云山A(退),19931108,D
000527.SZ,000527,美的电器(退),19931112,D
000535.SZ,000535,*ST猴王(退),19931130,D
000542.SZ,000542,TCL通讯(退),19931201,D
000549.SZ,000549,S湘火炬(退),19931220,D
000556.SZ,000556,PT南洋(退),19940525,D
000562.SZ,000562,宏源证券(退),19940202,D
000569.SZ,000569,长城股份(退),19940425,D
000578.SZ,000578,盐湖集团(退),19950303,D
000583.SZ,000583,S*ST托普(退),19951101,D
000588.SZ,000588,PT粤金曼(退),19960123,D
000594.SZ,000594,国恒退(退),19960320,D
000602.SZ,000602,金马集团(退),19960819,D
000618.SZ,000618,吉林化工(退),19961015,D
000621.SZ,000621,*ST比特(退),19961105,D
000653.SZ,000653,ST九州(退),19961126,D
000658.SZ,000658,ST海洋(退),19961218,D
000660.SZ,000660,*ST南华(退),19961209,D
000662.SZ,000662,天夏退(退),19961216,D
000675.SZ,000675,ST银山(退),19961226,D
000689.SZ,000689,ST宏业(退),19961231,D
000693.SZ,000693,华泽退(退),19970226,D
000699.SZ,000699,S*ST佳纸(退),19970310,D
000730.SZ,000730,*ST环保(退),19970522,D
000748.SZ,000748,长城信息(退),19970704,D
000760.SZ,000760,斯太退(退),19970627,D
000763.SZ,000763,锦州石化(退),19970915,D
000765.SZ,000765,*ST华信(退),19971103,D
000769.SZ,000769,*ST大菲(退),19970530,D
000780.SZ,000780,ST平能(退),19970606,D
000787.SZ,000787,*ST创智(退),19970626,D
000805.SZ,000805,*ST炎黄(退),19980529,D
000817.SZ,000817,辽河油田(退),19980528,D
000827.SZ,000827,*ST长兴(退),19981016,D
000832.SZ,000832,*ST龙涤(退),19980825,D
000866.SZ,000866,扬子石化(退),19980512,D
