V1,V2
20000104,1
20000105,1
20000106,1
20000107,1
20000110,1
20000111,1
20000112,1
20000113,1
20000114,1
20000117,1
20000118,1
20000119,1
20000120,1
20000121,1
20000124,1
20000125,1
20000126,1
20000127,1
20000128,1
20000214,1
20000215,1
20000216,1
20000217,1
20000218,1
20000221,1
20000222,1
20000223,1
20000224,1
20000225,1
20000228,1
20000229,1
20000301,1
20000302,1
20000303,1
20000306,1
20000307,1
20000308,1
20000309,1
20000310,1
20000313,1
20000314,1
20000315,1
20000316,1
20000317,1
20000320,1
20000321,1
20000322,1
20000323,1
20000324,1
20000327,1
20000328,1
20000329,1
20000330,1
20000331,1
20000403,1
20000404,1
20000405,1
20000406,1
20000407,1
20000410,1
20000411,1
20000412,1
20000413,1
20000414,1
20000417,1
20000418,1
20000419,1
20000420,1
20000421,1
20000424,1
20000425,1
20000426,1
20000427,1
20000428,1
20000508,1
20000509,1
20000510,1
20000511,1
20000512,1
20000515,1
20000516,1
20000517,1
20000518,1
20000519,1
20000522,1
20000523,1
20000524,1
20000525,1
20000526,1
20000529,1
20000530,1
20000531,1
20000601,1
20000602,1
20000605,1
20000606,1
20000607,1
20000608,1
20000609,1
20000612,1
20000613,1
20000614,1
20000615,1
20000616,1
20000619,1
20000620,1
20000621,1
20000622,1
20000623,1
20000626,1
20000627,1
20000628,1
20000629,1
20000630,1
20000703,1
20000704,1
20000705,1
20000706,1
20000707,1
20000710,1
20000711,1
20000712,1
20000713,1
20000714,1
20000717,1
20000718,1
20000719,1
20000720,1
20000721,1
20000724,1
20000725,1
20000726,1
20000727,1
20000728,1
20000731,1
20000801,1
20000802,1
20000803,1
20000804,1
20000807,1
20000808,1
20000809,1
20000810,1
20000811,1
20000814,1
20000815,1
20000816,1
20000817,1
20000818,1
20000821,1
20000822,1
20000823,1
20000824,1
20000825,1
20000828,1
20000829,1
20000830,1
20000831,1
20000901,1
20000904,1
20000905,1
20000906,1
20000907,1
20000908,1
20000911,1
20000912,1
20000913,1
20000914,1
20000915,1
20000918,1
20000919,1
20000920,1
20000921,1
20000922,1
20000925,1
20000926,1
20000927,1
20000928,1
20000929,1
20001009,1
20001010,1
20001011,1
20001012,1
20001013,1
20001016,1
20001017,1
20001018,1
20001019,1
20001020,1
20001023,1
20001024,1
20001025,1
20001026,1
20001027,1
20001030,1
20001031,1
20001101,1
20001102,1
20001103,1
20001106,1
20001107,1
20001108,1
20001109,1
20001110,1
20001113,1
20001114,1
20001115,1
20001116,1
20001117,1
20001120,1
20001121,1
20001122,1
20001123,1
20001124,1
20001127,1
20001128,1
20001129,1
20001130,1
20001201,1
20001204,1
20001205,1
20001206,1
20001207,1
20001208,1
20001211,1
20001212,1
20001213,1
20001214,1
20001215,1
20001218,1
20001219,1
20001220,1
20001221,1
20001222,1
20001225,1
20001226,1
20001227,1
20001228,1
20001229,1
20010102,1
20010103,1
20010104,1
20010105,1
20010108,1
20010109,1
20010110,1
20010111,1
20010112,1
20010115,1
20010116,1
20010117,1
20010118,1
20010119,1
20010205,1
20010206,1
20010207,1
20010208,1
20010209,1
20010212,1
20010213,1
20010214,1
20010215,1
20010216,1
20010219,1
20010220,1
20010221,1
20010222,1
20010223,1
20010226,1
20010227,1
20010228,1
20010301,1
20010302,1
20010305,1
20010306,1
20010307,1
20010308,1
20010309,1
20010312,1
20010313,1
20010314,1
20010315,1
20010316,1
20010319,1
20010320,1
20010321,1
20010322,1
20010323,1
20010326,1
20010327,1
20010328,1
20010329,1
20010330,1
20010402,1
20010403,1
20010404,1
20010405,1
20010406,1
20010409,1
20010410,1
20010411,1
20010412,1
20010413,1
20010416,1
20010417,1
20010418,1
20010419,1
20010420,1
20010423,1
20010424,1
20010425,1
20010426,1
20010427,1
20010430,1
20010508,1
20010509,1
20010510,1
20010511,1
20010514,1
20010515,1
20010516,1
20010517,1
20010518,1
20010521,1
20010522,1
20010523,1
20010524,1
20010525,1
20010528,1
20010529,1
20010530,1
20010531,1
20010601,1
20010604,1
20010605,1
20010606,1
20010607,1
20010608,1
20010611,1
20010612,1
20010613,1
20010614,1
20010615,1
20010618,1
20010619,1
20010620,1
20010621,1
20010622,1
20010625,1
20010626,1
20010627,1
20010628,1
20010629,1
20010702,1
20010703,1
20010704,1
20010705,1
20010706,1
20010709,1
20010710,1
20010711,1
20010712,1
20010713,1
20010716,1
20010717,1
20010718,1
20010719,1
20010720,1
20010723,1
20010724,1
20010725,1
20010726,1
20010727,1
20010730,1
20010731,1
20010801,1
20010802,1
20010803,1
20010806,1
20010807,1
20010808,1
20010809,1
20010810,1
20010813,1
20010814,1
20010815,1
20010816,1
20010817,1
20010820,1
20010821,1
20010822,1
20010823,1
20010824,1
20010827,1
20010828,1
20010829,1
20010830,1
20010831,1
20010903,1
20010904,1
20010905,1
20010906,1
20010907,1
20010910,1
20010911,1
20010912,1
20010913,1
20010914,1
20010917,1
20010918,1
20010919,1
20010920,1
20010921,1
20010924,1
20010925,1
20010926,1
20010927,1
20010928,1
20011008,1
20011009,1
20011010,1
20011011,1
20011012,1
20011015,1
20011016,1
20011017,1
20011018,1
20011019,1
20011022,1
20011023,1
20011024,1
20011025,1
20011026,1
20011029,1
20011030,1
20011031,1
20011101,1
20011102,1
20011105,1
20011106,1
20011107,1
20011108,1
20011109,1
20011112,1
20011113,1
20011114,1
20011115,1
20011116,1
20011119,1
20011120,1
20011121,1
20011122,1
20011123,1
20011126,1
20011127,1
20011128,1
20011129,1
20011130,1
20011203,1
20011204,1
20011205,1
20011206,1
20011207,1
20011210,1
20011211,1
20011212,1
20011213,1
20011214,1
20011217,1
20011218,1
20011219,1
20011220,1
20011221,1
20011224,1
20011225,1
20011226,1
20011227,1
20011228,1
20011231,1
20020104,1
20020107,1
20020108,1
20020109,1
20020110,1
20020111,1
20020114,1
20020115,1
20020116,1
20020117,1
20020118,1
20020121,1
20020122,1
20020123,1
20020124,1
20020125,1
20020128,1
20020129,1
20020130,1
20020131,1
20020201,1
20020204,1
20020205,1
20020206,1
20020207,1
20020208,1
20020225,1
20020226,1
20020227,1
20020228,1
20020301,1
20020304,1
20020305,1
20020306,1
20020307,1
20020308,1
20020311,1
20020312,1
20020313,1
20020314,1
20020315,1
20020318,1
20020319,1
20020320,1
20020321,1
20020322,1
20020325,1
20020326,1
20020327,1
20020328,1
20020329,1
20020401,1
20020402,1
20020403,1
20020404,1
20020405,1
20020408,1
20020409,1
20020410,1
20020411,1
20020412,1
20020415,1
20020416,1
20020417,1
20020418,1
20020419,1
20020422,1
20020423,1
20020424,1
20020425,1
20020426,1
20020429,1
20020430,1
20020508,1
20020509,1
20020510,1
20020513,1
20020514,1
20020515,1
20020516,1
20020517,1
20020520,1
20020521,1
20020522,1
20020523,1
20020524,1
20020527,1
20020528,1
20020529,1
20020530,1
20020531,1
20020603,1
20020604,1
20020605,1
20020606,1
20020607,1
20020610,1
20020611,1
20020612,1
20020613,1
20020614,1
20020617,1
20020618,1
20020619,1
20020620,1
20020621,1
20020624,1
20020625,1
20020626,1
20020627,1
20020628,1
20020701,1
20020702,1
20020703,1
20020704,1
20020705,1
20020708,1
20020709,1
20020710,1
20020711,1
20020712,1
20020715,1
20020716,1
20020717,1
20020718,1
20020719,1
20020722,1
20020723,1
20020724,1
20020725,1
20020726,1
20020729,1
20020730,1
20020731,1
20020801,1
20020802,1
20020805,1
20020806,1
20020807,1
20020808,1
20020809,1
20020812,1
20020813,1
20020814,1
20020815,1
20020816,1
20020819,1
20020820,1
20020821,1
20020822,1
20020823,1
20020826,1
20020827,1
20020828,1
20020829,1
20020830,1
20020902,1
20020903,1
20020904,1
20020905,1
20020906,1
20020909,1
20020910,1
20020911,1
20020912,1
20020913,1
20020916,1
20020917,1
20020918,1
20020919,1
20020920,1
20020923,1
20020924,1
20020925,1
20020926,1
20020927,1
20021008,1
20021009,1
20021010,1
20021011,1
20021014,1
20021015,1
20021016,1
20021017,1
20021018,1
20021021,1
20021022,1
20021023,1
20021024,1
20021025,1
20021028,1
20021029,1
20021030,1
20021031,1
20021101,1
20021104,1
20021105,1
20021106,1
20021107,1
20021108,1
20021111,1
20021112,1
20021113,1
20021114,1
20021115,1
20021118,1
20021119,1
20021120,1
20021121,1
20021122,1
20021125,1
20021126,1
20021127,1
20021128,1
20021129,1
20021202,1
20021203,1
20021204,1
20021205,1
20021206,1
20021209,1
20021210,1
20021211,1
20021212,1
20021213,1
20021216,1
20021217,1
20021218,1
20021219,1
20021220,1
20021223,1
20021224,1
20021225,1
20021226,1
20021227,1
20021230,1
20021231,1
20030102,1
20030103,1
20030106,1
20030107,1
20030108,1
20030109,1
20030110,1
20030113,1
20030114,1
20030115,1
20030116,1
20030117,1
20030120,1
20030121,1
20030122,1
20030123,1
20030124,1
20030127,1
20030128,1
20030129,1
20030210,1
20030211,1
20030212,1
20030213,1
20030214,1
20030217,1
20030218,1
20030219,1
20030220,1
20030221,1
20030224,1
20030225,1
20030226,1
20030227,1
20030228,1
20030303,1
20030304,1
20030305,1
20030306,1
20030307,1
20030310,1
20030311,1
20030312,1
20030313,1
20030314,1
20030317,1
20030318,1
20030319,1
20030320,1
20030321,1
20030324,1
20030325,1
20030326,1
20030327,1
20030328,1
20030331,1
20030401,1
20030402,1
20030403,1
20030404,1
20030407,1
20030408,1
20030409,1
20030410,1
20030411,1
20030414,1
20030415,1
20030416,1
20030417,1
20030418,1
20030421,1
20030422,1
20030423,1
20030424,1
20030425,1
20030428,1
20030429,1
20030430,1
20030512,1
20030513,1
20030514,1
20030515,1
20030516,1
20030519,1
20030520,1
20030521,1
20030522,1
20030523,1
20030526,1
20030527,1
20030528,1
20030529,1
20030530,1
20030602,1
20030603,1
20030604,1
20030605,1
20030606,1
20030609,1
20030610,1
20030611,1
20030612,1
20030613,1
20030616,1
20030617,1
20030618,1
20030619,1
20030620,1
20030623,1
20030624,1
20030625,1
20030626,1
20030627,1
20030630,1
20030701,1
20030702,1
20030703,1
20030704,1
20030707,1
20030708,1
20030709,1
20030710,1
20030711,1
20030714,1
20030715,1
20030716,1
20030717,1
20030718,1
20030721,1
20030722,1
20030723,1
20030724,1
20030725,1
20030728,1
20030729,1
20030730,1
20030731,1
20030801,1
20030804,1
20030805,1
20030806,1
20030807,1
20030808,1
20030811,1
20030812,1
20030813,1
20030814,1
20030815,1
20030818,1
20030819,1
20030820,1
20030821,1
20030822,1
20030825,1
20030826,1
20030827,1
20030828,1
20030829,1
20030901,1
20030902,1
20030903,1
20030904,1
20030905,1
20030908,1
20030909,1
20030910,1
20030911,1
20030912,1
20030915,1
20030916,1
20030917,1
20030918,1
20030919,1
20030922,1
20030923,1
20030924,1
20030925,1
20030926,1
20030929,1
20030930,1
20031008,1
20031009,1
20031010,1
20031013,1
20031014,1
20031015,1
20031016,1
20031017,1
20031020,1
20031021,1
20031022,1
20031023,1
