"code","pp3","jzdate"
"000001",290700,"2021-01-31"
"000001",308700,"2020-12-31"
"000001",351400,"2020-09-30"
"000001",431000,"2020-06-30"
"000002",371500,"2020-09-30"
"000002",406700,"2020-06-30"
"000002",461700,"2020-07-31"
"000004",16400,"2020-06-30"
"000004",19000,"2021-01-08"
"000004",19300,"2021-01-29"
"000004",19400,"2020-08-10"
"000004",19600,"2020-12-10"
"000004",19800,"2020-11-30"
"000004",20700,"2020-09-10"
"000004",21400,"2020-10-09"
"000004",21500,"2020-09-30"
"000004",21500,"2020-10-20"
"000004",23300,"2020-09-18"
"000005",110000,"2021-01-29"
"000005",112900,"2020-09-30"
"000005",114200,"2020-06-22"
"000005",115200,"2020-06-30"
"000005",117200,"2020-07-20"
"000006",64400,"2020-06-30"
"000006",75400,"2020-09-30"
"000007",12600,"2020-06-30"
"000007",12700,"2020-09-30"
"000008",89800,"2020-09-18"
"000008",90000,"2020-09-30"
"000008",90100,"2020-10-09"
"000008",90500,"2020-08-20"
"000008",90700,"2020-08-30"
"000008",90700,"2020-11-20"
"000008",90800,"2020-11-30"
"000008",90800,"2020-12-18"
"000008",91000,"2020-06-30"
"000009",140700,"2020-07-10"
"000009",160000,"2020-06-30"
"000009",166300,"2020-07-20"
"000009",168200,"2020-06-10"
"000009",168600,"2020-12-31"
"000009",173600,"2020-11-30"
"000009",175000,"2020-11-10"
"000009",175600,"2020-12-10"
"000009",175600,"2020-12-18"
"000009",177600,"2020-10-30"
"000009",180100,"2020-07-31"
"000009",185300,"2020-08-10"
"000009",185900,"2020-09-10"
"000009",186000,"2020-10-09"
"000009",189100,"2020-08-31"
"000009",195900,"2020-09-30"
"000010",27900,"2020-06-30"
"000010",30500,"2020-09-30"
"000012",96100,"2020-11-30"
"000012",97800,"2020-11-10"
"000012",100200,"2020-07-20"
"000012",103200,"2020-10-20"
"000012",104800,"2020-08-31"
"000012",107100,"2020-12-31"
"000014",21100,"2020-06-30"
"000014",23500,"2020-09-30"
"000014",23800,"2020-11-30"
"000018",44300,"2020-09-30"
"000018",44400,"2020-06-30"
"000019",59500,"2020-08-20"
"000019",61400,"2020-07-20"
"000021",113000,"2020-06-10"
"000021",114200,"2020-06-19"
"000021",118200,"2020-10-28"
"000021",118800,"2020-09-30"
"000021",119600,"2021-01-20"
"000021",122100,"2020-12-10"
"000021",122500,"2020-08-31"
"000021",123700,"2020-08-20"
"000021",128000,"2020-06-30"
"000021",135900,"2020-08-10"
"000023",9640,"2020-09-30"
"000023",10900,"2020-06-30"
"000025",40300,"2020-09-20"
"000026",15300,"2020-09-18"
"000026",15600,"2020-09-10"
"000026",15700,"2020-09-30"
"000026",16600,"2020-10-09"
"000026",17200,"2020-08-31"
"000026",18200,"2020-08-20"
"000026",18300,"2020-08-10"
"000026",18800,"2020-10-20"
"000026",19500,"2020-10-30"
"000026",20400,"2020-07-20"
"000026",21200,"2020-11-20"
"000026",21700,"2020-11-10"
"000026",22000,"2020-12-10"
"000026",22000,"2020-12-18"
"000026",22300,"2021-01-08"
"000026",22800,"2021-01-20"
"000026",25600,"2020-06-30"
"000027",104000,"2020-06-10"
"000027",104500,"2020-06-19"
"000027",106400,"2020-10-09"
"000027",106600,"2020-10-30"
"000027",106700,"2020-08-31"
"000027",106700,"2020-09-10"
"000027",106800,"2020-06-30"
"000027",106800,"2020-09-18"
"000027",106900,"2020-09-30"
"000027",106900,"2020-11-10"
"000027",106900,"2020-11-20"
"000027",107400,"2020-10-20"
"000027",107500,"2020-08-20"
"000027",107800,"2020-12-10"
"000027",108200,"2020-11-30"
"000027",108700,"2020-12-18"
"000027",109000,"2020-07-10"
"000027",109100,"2020-08-10"
"000027",109700,"2020-07-31"
"000027",111300,"2020-07-20"
"000027",115300,"2021-01-20"
"000027",117400,"2021-01-08"
"000027",117400,"2021-01-29"
"000031",136200,"2020-09-30"
"000031",141000,"2020-06-30"
"000032",16500,"2020-06-19"
"000032",16700,"2020-06-10"
"000032",17600,"2020-06-30"
"000032",17700,"2020-07-10"
"000032",19100,"2020-12-31"
"000032",19300,"2020-11-30"
"000032",19700,"2020-11-10"
"000032",20000,"2020-10-20"
"000032",20100,"2020-07-31"
"000032",20100,"2020-09-30"
"000032",20400,"2020-09-10"
"000032",20400,"2020-09-18"
"000032",21700,"2020-08-31"
"000032",22400,"2020-08-26"
"000032",23900,"2020-08-10"
"000033",13700,"2020-09-30"
"000033",13800,"2020-06-30"
"000034",46300,"2020-09-30"
"000034",60700,"2020-06-30"
"000035",40600,"2020-08-10"
"000035",41100,"2020-06-30"
"000035",41800,"2020-09-30"
"000035",41900,"2020-10-09"
"000035",43000,"2021-01-20"
"000035",43400,"2020-12-20"
"000036",57500,"2021-01-29"
"000036",57800,"2021-01-20"
"000036",58000,"2021-01-08"
"000036",58200,"2020-12-31"
"000036",58400,"2020-06-30"
"000036",58500,"2020-06-10"
"000036",58600,"2020-12-18"
"000036",58600,"2020-12-20"
"000036",58700,"2020-06-20"
"000036",58900,"2020-12-10"
"000036",59300,"2020-11-30"
"000036",59500,"2020-11-20"
"000036",59800,"2020-11-10"
"000036",60400,"2020-09-30"
"000036",60400,"2020-10-09"
"000036",60500,"2020-10-20"
"000036",60600,"2020-09-10"
"000036",60600,"2020-09-20"
"000036",60800,"2020-08-31"
"000036",60900,"2020-08-21"
"000036",61100,"2020-08-10"
"000036",61900,"2020-07-10"
"000036",62300,"2020-07-20"
"000036",63000,"2020-07-31"
"000037",19200,"2020-11-10"
"000037",20600,"2020-11-30"
"000037",26700,"2020-12-18"
"000038",30100,"2021-01-29"
"000038",30500,"2021-01-20"
"000038",31000,"2020-07-10"
"000038",31100,"2021-01-08"
"000038",31600,"2020-12-31"
"000038",32800,"2020-12-18"
"000038",33200,"2020-11-30"
"000038",33200,"2020-12-10"
"000038",33600,"2020-11-20"
"000038",33700,"2020-11-10"
"000038",33900,"2020-06-19"
"000038",33900,"2020-10-09"
"000038",34000,"2020-06-30"
"000038",34000,"2020-09-10"
"000038",34000,"2020-09-30"
"000038",34100,"2020-10-30"
"000038",34400,"2020-09-18"
"000038",35000,"2020-06-10"
"000038",35600,"2020-10-20"
"000038",36200,"2020-08-31"
"000038",37300,"2020-08-20"
"000038",37900,"2020-07-31"
"000038",38400,"2020-07-20"
"000038",38800,"2020-08-10"
"000039",71600,"2020-09-30"
"000039",81600,"2020-06-30"
"000040",70000,"2021-01-20"
"000040",70000,"2021-02-02"
"000040",70100,"2020-06-30"
"000040",71000,"2021-01-07"
"000040",72000,"2020-11-20"
"000040",73000,"2020-11-30"
"000040",74800,"2020-09-30"
"000042",14000,"2021-01-31"
"000042",14200,"2020-06-19"
"000042",14200,"2020-06-30"
"000042",14200,"2021-01-20"
"000042",14300,"2020-06-10"
"000042",14300,"2021-01-08"
"000042",14500,"2020-12-31"
"000042",14700,"2020-12-20"
"000042",14800,"2020-07-10"
"000042",14900,"2020-12-10"
"000042",15000,"2020-11-30"
"000042",15100,"2020-11-20"
"000042",15200,"2020-11-10"
"000042",15300,"2020-10-30"
"000042",15500,"2020-10-20"
"000042",15600,"2020-07-20"
"000042",15700,"2020-07-31"
"000042",15700,"2020-09-30"
"000042",15900,"2020-09-18"
"000042",16000,"2020-09-10"
"000042",16500,"2020-08-20"
"000042",16600,"2020-08-31"
"000042",16900,"2020-08-10"
"000046",38600,"2020-12-11"
"000046",39500,"2021-01-10"
"000046",40600,"2020-12-18"
"000046",41000,"2020-11-30"
"000046",41200,"2020-11-10"
"000046",41200,"2020-11-20"
"000046",41400,"2021-01-20"
"000046",41600,"2020-10-30"
"000046",41700,"2020-09-30"
"000046",42200,"2020-10-20"
"000046",42800,"2020-07-10"
"000046",43500,"2020-08-31"
"000046",43900,"2020-08-10"
"000046",44000,"2020-06-30"
"000048",8704,"2020-09-30"
"000048",10900,"2020-06-30"
"000049",22000,"2020-08-10"
"000049",22400,"2020-07-31"
"000049",22600,"2020-08-20"
"000049",22800,"2020-08-31"
"000049",23600,"2020-09-10"
"000049",24400,"2020-09-18"
"000049",25700,"2020-10-20"
"000049",26100,"2020-07-10"
"000049",26100,"2020-07-20"
"000049",26600,"2020-06-19"
"000049",26700,"2020-09-30"
"000049",26800,"2021-01-20"
"000049",26900,"2020-10-30"
"000049",27400,"2020-11-10"
"000049",27400,"2020-12-31"
"000049",28100,"2021-01-08"
"000049",28400,"2020-06-10"
"000049",28600,"2020-11-20"
"000049",29100,"2020-12-10"
"000049",29200,"2020-11-30"
"000049",29300,"2020-12-18"
"000049",29400,"2021-01-29"
"000049",32400,"2020-06-30"
"000050",77100,"2020-08-10"
"000050",77600,"2020-08-20"
"000050",79200,"2020-08-31"
"000050",79600,"2021-01-29"
"000050",80700,"2020-09-10"
"000050",82700,"2020-09-18"
"000050",82900,"2020-11-10"
