date,is_open,tdid,did
20000101,0,9999,100001
20000102,0,9999,100002
20000103,0,9999,100003
20000104,1,10000,100004
20000105,1,10001,100005
20000106,1,10002,100006
20000107,1,10003,100007
20000108,0,10003,100008
20000109,0,10003,100009
20000110,1,10004,100010
20000111,1,10005,100011
20000112,1,10006,100012
20000113,1,10007,100013
20000114,1,10008,100014
20000115,0,10008,100015
20000116,0,10008,100016
20000117,1,10009,100017
20000118,1,10010,100018
20000119,1,10011,100019
20000120,1,10012,100020
20000121,1,10013,100021
20000122,0,10013,100022
20000123,0,10013,100023
20000124,1,10014,100024
20000125,1,10015,100025
20000126,1,10016,100026
20000127,1,10017,100027
20000128,1,10018,100028
20000129,0,10018,100029
20000130,0,10018,100030
20000131,0,10018,100031
20000201,0,10018,100032
20000202,0,10018,100033
20000203,0,10018,100034
20000204,0,10018,100035
20000205,0,10018,100036
20000206,0,10018,100037
20000207,0,10018,100038
20000208,0,10018,100039
20000209,0,10018,100040
20000210,0,10018,100041
20000211,0,10018,100042
20000212,0,10018,100043
20000213,0,10018,100044
20000214,1,10019,100045
20000215,1,10020,100046
20000216,1,10021,100047
20000217,1,10022,100048
20000218,1,10023,100049
20000219,0,10023,100050
20000220,0,10023,100051
20000221,1,10024,100052
20000222,1,10025,100053
20000223,1,10026,100054
20000224,1,10027,100055
20000225,1,10028,100056
20000226,0,10028,100057
20000227,0,10028,100058
20000228,1,10029,100059
20000229,1,10030,100060
20000301,1,10031,100061
20000302,1,10032,100062
20000303,1,10033,100063
20000304,0,10033,100064
20000305,0,10033,100065
20000306,1,10034,100066
20000307,1,10035,100067
20000308,1,10036,100068
20000309,1,10037,100069
20000310,1,10038,100070
20000311,0,10038,100071
20000312,0,10038,100072
20000313,1,10039,100073
20000314,1,10040,100074
20000315,1,10041,100075
20000316,1,10042,100076
20000317,1,10043,100077
20000318,0,10043,100078
20000319,0,10043,100079
20000320,1,10044,100080
20000321,1,10045,100081
20000322,1,10046,100082
20000323,1,10047,100083
20000324,1,10048,100084
20000325,0,10048,100085
20000326,0,10048,100086
20000327,1,10049,100087
20000328,1,10050,100088
20000329,1,10051,100089
20000330,1,10052,100090
20000331,1,10053,100091
20000401,0,10053,100092
20000402,0,10053,100093
20000403,1,10054,100094
20000404,1,10055,100095
20000405,1,10056,100096
20000406,1,10057,100097
20000407,1,10058,100098
20000408,0,10058,100099
20000409,0,10058,100100
20000410,1,10059,100101
20000411,1,10060,100102
20000412,1,10061,100103
20000413,1,10062,100104
20000414,1,10063,100105
20000415,0,10063,100106
20000416,0,10063,100107
20000417,1,10064,100108
20000418,1,10065,100109
20000419,1,10066,100110
20000420,1,10067,100111
20000421,1,10068,100112
20000422,0,10068,100113
20000423,0,10068,100114
20000424,1,10069,100115
20000425,1,10070,100116
20000426,1,10071,100117
20000427,1,10072,100118
20000428,1,10073,100119
20000429,0,10073,100120
20000430,0,10073,100121
20000501,0,10073,100122
20000502,0,10073,100123
20000503,0,10073,100124
20000504,0,10073,100125
20000505,0,10073,100126
20000506,0,10073,100127
20000507,0,10073,100128
20000508,1,10074,100129
20000509,1,10075,100130
20000510,1,10076,100131
20000511,1,10077,100132
20000512,1,10078,100133
20000513,0,10078,100134
20000514,0,10078,100135
20000515,1,10079,100136
20000516,1,10080,100137
20000517,1,10081,100138
20000518,1,10082,100139
20000519,1,10083,100140
20000520,0,10083,100141
20000521,0,10083,100142
20000522,1,10084,100143
20000523,1,10085,100144
20000524,1,10086,100145
20000525,1,10087,100146
20000526,1,10088,100147
20000527,0,10088,100148
20000528,0,10088,100149
20000529,1,10089,100150
20000530,1,10090,100151
20000531,1,10091,100152
20000601,1,10092,100153
20000602,1,10093,100154
20000603,0,10093,100155
20000604,0,10093,100156
20000605,1,10094,100157
20000606,1,10095,100158
20000607,1,10096,100159
20000608,1,10097,100160
20000609,1,10098,100161
20000610,0,10098,100162
20000611,0,10098,100163
20000612,1,10099,100164
20000613,1,10100,100165
20000614,1,10101,100166
20000615,1,10102,100167
20000616,1,10103,100168
20000617,0,10103,100169
20000618,0,10103,100170
20000619,1,10104,100171
20000620,1,10105,100172
20000621,1,10106,100173
20000622,1,10107,100174
20000623,1,10108,100175
20000624,0,10108,100176
20000625,0,10108,100177
20000626,1,10109,100178
20000627,1,10110,100179
20000628,1,10111,100180
20000629,1,10112,100181
20000630,1,10113,100182
20000701,0,10113,100183
20000702,0,10113,100184
20000703,1,10114,100185
20000704,1,10115,100186
20000705,1,10116,100187
20000706,1,10117,100188
20000707,1,10118,100189
20000708,0,10118,100190
20000709,0,10118,100191
20000710,1,10119,100192
20000711,1,10120,100193
20000712,1,10121,100194
20000713,1,10122,100195
20000714,1,10123,100196
20000715,0,10123,100197
20000716,0,10123,100198
20000717,1,10124,100199
20000718,1,10125,100200
20000719,1,10126,100201
20000720,1,10127,100202
20000721,1,10128,100203
20000722,0,10128,100204
20000723,0,10128,100205
20000724,1,10129,100206
20000725,1,10130,100207
20000726,1,10131,100208
20000727,1,10132,100209
20000728,1,10133,100210
20000729,0,10133,100211
20000730,0,10133,100212
20000731,1,10134,100213
20000801,1,10135,100214
20000802,1,10136,100215
20000803,1,10137,100216
20000804,1,10138,100217
20000805,0,10138,100218
20000806,0,10138,100219
20000807,1,10139,100220
20000808,1,10140,100221
20000809,1,10141,100222
20000810,1,10142,100223
20000811,1,10143,100224
20000812,0,10143,100225
20000813,0,10143,100226
20000814,1,10144,100227
20000815,1,10145,100228
20000816,1,10146,100229
20000817,1,10147,100230
20000818,1,10148,100231
20000819,0,10148,100232
20000820,0,10148,100233
20000821,1,10149,100234
20000822,1,10150,100235
20000823,1,10151,100236
20000824,1,10152,100237
20000825,1,10153,100238
20000826,0,10153,100239
20000827,0,10153,100240
20000828,1,10154,100241
20000829,1,10155,100242
20000830,1,10156,100243
20000831,1,10157,100244
20000901,1,10158,100245
20000902,0,10158,100246
20000903,0,10158,100247
20000904,1,10159,100248
20000905,1,10160,100249
20000906,1,10161,100250
20000907,1,10162,100251
20000908,1,10163,100252
20000909,0,10163,100253
20000910,0,10163,100254
20000911,1,10164,100255
20000912,1,10165,100256
20000913,1,10166,100257
20000914,1,10167,100258
20000915,1,10168,100259
20000916,0,10168,100260
20000917,0,10168,100261
20000918,1,10169,100262
20000919,1,10170,100263
20000920,1,10171,100264
20000921,1,10172,100265
20000922,1,10173,100266
20000923,0,10173,100267
20000924,0,10173,100268
20000925,1,10174,100269
20000926,1,10175,100270
20000927,1,10176,100271
20000928,1,10177,100272
20000929,1,10178,100273
20000930,0,10178,100274
20001001,0,10178,100275
20001002,0,10178,100276
20001003,0,10178,100277
20001004,0,10178,100278
